Topic,Title,Rating,Price,Availability,Link,Thumbnail
historical-fiction,A Flight of Arrows (The Pathfinders #2),Five,£55.53,In stock,http://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html,http://books.toscrape.com/media/cache/82/96/8296f92b70fb1dafefecda92c1d51941.jpg
historical-fiction,The House by the Lake,One,£36.95,In stock,http://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html,http://books.toscrape.com/media/cache/0d/cb/0dcb33d60b0e79adf8ab9842e697ea2e.jpg
historical-fiction,Mrs. Houdini,Five,£30.25,In stock,http://books.toscrape.com/catalogue/mrs-houdini_821/index.html,http://books.toscrape.com/media/cache/0e/fe/0efe86960cdff718aed01a5c3f65b1c3.jpg
historical-fiction,The Marriage of Opposites,Four,£28.08,In stock,http://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html,http://books.toscrape.com/media/cache/0f/c2/0fc21ec3489cb23116778ee84f425eca.jpg
historical-fiction,Glory over Everything: Beyond The Kitchen House,Three,£45.84,In stock,http://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html,http://books.toscrape.com/media/cache/96/41/964194a317f8ce5ed031bf4c9ceb43ab.jpg
historical-fiction,"Love, Lies and Spies",Two,£20.55,In stock,http://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html,http://books.toscrape.com/media/cache/7a/22/7a224a6e174af91950e9b124afe54e0e.jpg
historical-fiction,A Paris Apartment,Four,£39.01,In stock,http://books.toscrape.com/catalogue/a-paris-apartment_612/index.html,http://books.toscrape.com/media/cache/16/57/16575316618bd7e922d5b0e0f87de2ca.jpg
historical-fiction,Lilac Girls,Two,£17.28,In stock,http://books.toscrape.com/catalogue/lilac-girls_597/index.html,http://books.toscrape.com/media/cache/6c/2e/6c2e764e3ea89859b52df8de4f12af7a.jpg
historical-fiction,The Constant Princess (The Tudor Court #1),Three,£16.62,In stock,http://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html,http://books.toscrape.com/media/cache/fc/80/fc80b999ff4b8ef24b7071f62d2bf6d1.jpg
historical-fiction,The Invention of Wings,One,£37.34,In stock,http://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html,http://books.toscrape.com/media/cache/62/fa/62fa1e72f06f05762db5d9cedf654153.jpg
historical-fiction,World Without End (The Pillars of the Earth #2),Four,£32.97,In stock,http://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html,http://books.toscrape.com/media/cache/be/7c/be7ce6fbc9a8e1a5a5b5c32e73cfd78a.jpg
historical-fiction,The Passion of Dolssa,Five,£28.32,In stock,http://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html,http://books.toscrape.com/media/cache/6b/82/6b822681c4035131560d40dd3b5a6a2e.jpg
historical-fiction,Girl With a Pearl Earring,One,£26.77,In stock,http://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html,http://books.toscrape.com/media/cache/b7/ad/b7ad37d93d8401c84d7325aa645ff6d5.jpg
historical-fiction,Voyager (Outlander #3),Five,£21.07,In stock,http://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html,http://books.toscrape.com/media/cache/b5/d8/b5d813da01f2ccd7bcfe34e2b875e752.jpg
historical-fiction,The Red Tent,Five,£35.66,In stock,http://books.toscrape.com/catalogue/the-red-tent_273/index.html,http://books.toscrape.com/media/cache/b2/8f/b28f211e50e74445ca071d4279d1080d.jpg
historical-fiction,The Last Painting of Sara de Vos,Two,£55.55,In stock,http://books.toscrape.com/catalogue/the-last-painting-of-sara-de-vos_259/index.html,http://books.toscrape.com/media/cache/bf/fd/bffd473ab232c5f35e8c81bb927f1624.jpg
historical-fiction,The Guernsey Literary and Potato Peel Pie Society,One,£49.53,In stock,http://books.toscrape.com/catalogue/the-guernsey-literary-and-potato-peel-pie-society_253/index.html,http://books.toscrape.com/media/cache/18/f7/18f7bf6366cd7a8b947fd790d808047b.jpg
historical-fiction,Girl in the Blue Coat,Two,£46.83,In stock,http://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html,http://books.toscrape.com/media/cache/bf/7a/bf7a5bc1d1ebac5e9b6fbb147828a123.jpg
classics,The Secret Garden,Four,£15.08,In stock,http://books.toscrape.com/catalogue/the-secret-garden_413/index.html,http://books.toscrape.com/media/cache/c5/46/c5465a06182ed6ebfa40d049258a2f58.jpg
classics,The Metamorphosis,One,£28.58,In stock,http://books.toscrape.com/catalogue/the-metamorphosis_409/index.html,http://books.toscrape.com/media/cache/4a/1b/4a1b6e9c1af75db0dc34ae63344f6883.jpg
classics,The Pilgrim's Progress,Two,£50.26,In stock,http://books.toscrape.com/catalogue/the-pilgrims-progress_353/index.html,http://books.toscrape.com/media/cache/45/bb/45bb59d19eb3aa868293d44809078418.jpg
classics,The Hound of the Baskervilles (Sherlock Holmes #5),Two,£14.82,In stock,http://books.toscrape.com/catalogue/the-hound-of-the-baskervilles-sherlock-holmes-5_348/index.html,http://books.toscrape.com/media/cache/1f/b0/1fb03cdabe6001c8a2620f65e025cbd5.jpg
classics,Little Women (Little Women #1),Four,£28.07,In stock,http://books.toscrape.com/catalogue/little-women-little-women-1_331/index.html,http://books.toscrape.com/media/cache/81/f5/81f559ebe403317226fa8b611e35ce8a.jpg
classics,Gone with the Wind,Three,£32.49,In stock,http://books.toscrape.com/catalogue/gone-with-the-wind_324/index.html,http://books.toscrape.com/media/cache/27/82/2782701b5c877cb063065b9fc14c5b13.jpg
classics,Candide,Three,£58.63,In stock,http://books.toscrape.com/catalogue/candide_316/index.html,http://books.toscrape.com/media/cache/e3/c4/e3c4aba2409bb769a6488805e3fc4709.jpg
classics,Animal Farm,Three,£57.22,In stock,http://books.toscrape.com/catalogue/animal-farm_313/index.html,http://books.toscrape.com/media/cache/10/db/10db56354b4550d92270c6f097d9bebc.jpg
classics,Wuthering Heights,Three,£17.73,In stock,http://books.toscrape.com/catalogue/wuthering-heights_307/index.html,http://books.toscrape.com/media/cache/93/4e/934e966c1ddf559d3ac2b5c1407aaf1e.jpg
classics,The Picture of Dorian Gray,Two,£29.70,In stock,http://books.toscrape.com/catalogue/the-picture-of-dorian-gray_270/index.html,http://books.toscrape.com/media/cache/a6/72/a67245346daa38c2b23a4fc64c6e7115.jpg
classics,The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Four,£26.78,In stock,http://books.toscrape.com/catalogue/the-complete-stories-and-poems-the-works-of-edgar-allan-poe-cameo-edition_238/index.html,http://books.toscrape.com/media/cache/42/c4/42c48f11b7e70a0f76c5ba9cb5c5018a.jpg
classics,Beowulf,Two,£38.35,In stock,http://books.toscrape.com/catalogue/beowulf_126/index.html,http://books.toscrape.com/media/cache/dd/6e/dd6e7b84e99f3b4b5655ea0db74af2b4.jpg
classics,And Then There Were None,Two,£35.01,In stock,http://books.toscrape.com/catalogue/and-then-there-were-none_119/index.html,http://books.toscrape.com/media/cache/21/bf/21bf2eb0bff3134837def8bd40845ba0.jpg
classics,The Story of Hong Gildong,Four,£43.19,In stock,http://books.toscrape.com/catalogue/the-story-of-hong-gildong_84/index.html,http://books.toscrape.com/media/cache/ab/16/ab16eb035cc58809a73c4699477de9cb.jpg
classics,The Little Prince,Two,£45.42,In stock,http://books.toscrape.com/catalogue/the-little-prince_72/index.html,http://books.toscrape.com/media/cache/c0/78/c078355608dd81c7c5e4f5e1c5f73d23.jpg
classics,Sense and Sensibility,One,£37.46,In stock,http://books.toscrape.com/catalogue/sense-and-sensibility_49/index.html,http://books.toscrape.com/media/cache/7d/53/7d53e2264b9647ee307259be9f73585d.jpg
classics,Of Mice and Men,Two,£47.11,In stock,http://books.toscrape.com/catalogue/of-mice-and-men_37/index.html,http://books.toscrape.com/media/cache/0f/ca/0fca4597765ffacdb7bd529fc5eb88fa.jpg
classics,Emma,Two,£32.93,In stock,http://books.toscrape.com/catalogue/emma_17/index.html,http://books.toscrape.com/media/cache/09/63/09638baaef52f03827c215029c632a13.jpg
classics,Alice in Wonderland (Alice's Adventures in Wonderland #1),One,£55.53,In stock,http://books.toscrape.com/catalogue/alice-in-wonderland-alices-adventures-in-wonderland-1_5/index.html,http://books.toscrape.com/media/cache/96/ee/96ee77d71a31b7694dac6855f6affe4e.jpg
philosophy,Sophie's World,Five,£15.94,In stock,http://books.toscrape.com/catalogue/sophies-world_966/index.html,http://books.toscrape.com/media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg
philosophy,The Death of Humanity: and the Case for Life,Four,£58.11,In stock,http://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,http://books.toscrape.com/media/cache/71/df/71df730cf38c232ee58a2e407135f055.jpg
philosophy,The Stranger,Four,£17.44,In stock,http://books.toscrape.com/catalogue/the-stranger_861/index.html,http://books.toscrape.com/media/cache/ea/04/ea0476a6f4c318ceccf5e2f2b39f2b15.jpg
philosophy,Proofs of God: Classical Arguments from Tertullian to Barth,One,£54.21,In stock,http://books.toscrape.com/catalogue/proofs-of-god-classical-arguments-from-tertullian-to-barth_538/index.html,http://books.toscrape.com/media/cache/3f/ef/3fef12d9da503693af12997c0ea0897f.jpg
philosophy,Kierkegaard: A Christian Missionary to Christians,One,£47.13,In stock,http://books.toscrape.com/catalogue/kierkegaard-a-christian-missionary-to-christians_527/index.html,http://books.toscrape.com/media/cache/05/ce/05ce699eaf78c0fae20308497c4f496a.jpg
philosophy,"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",Five,£29.93,In stock,http://books.toscrape.com/catalogue/at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html,http://books.toscrape.com/media/cache/de/76/de76d5c473c358bd41c03cf710692bfb.jpg
philosophy,Critique of Pure Reason,One,£20.75,In stock,http://books.toscrape.com/catalogue/critique-of-pure-reason_366/index.html,http://books.toscrape.com/media/cache/12/6e/126ef8f6473b81808ebbb9cff155e883.jpg
philosophy,"Run, Spot, Run: The Ethics of Keeping Pets",One,£20.02,In stock,http://books.toscrape.com/catalogue/run-spot-run-the-ethics-of-keeping-pets_106/index.html,http://books.toscrape.com/media/cache/91/e6/91e6190dcdd7d6cdeb94a82b60917ec4.jpg
philosophy,The Nicomachean Ethics,One,£36.34,In stock,http://books.toscrape.com/catalogue/the-nicomachean-ethics_75/index.html,http://books.toscrape.com/media/cache/f0/aa/f0aa9ae0319b1d6e0706e6053020e696.jpg
philosophy,Meditations,Two,£25.89,In stock,http://books.toscrape.com/catalogue/meditations_33/index.html,http://books.toscrape.com/media/cache/df/c9/dfc9ed72e963572d23233b3a8cb01676.jpg
philosophy,Beyond Good and Evil,One,£43.38,In stock,http://books.toscrape.com/catalogue/beyond-good-and-evil_6/index.html,http://books.toscrape.com/media/cache/ab/45/ab45f300aa15066ad1260d6f1398d03e.jpg
